<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TATN,D,20180222,000000,584.0000000,600.2000000,580.1000000,599.5000000,2103370
TATN,D,20180226,000000,608.7000000,609.3000000,595.9500000,602.0000000,2499100
TATN,D,20180227,000000,604.5500000,606.2000000,597.4500000,606.2000000,1893220
TATN,D,20180228,000000,602.2000000,603.8000000,591.6000000,594.0000000,4140860
TATN,D,20180301,000000,588.9000000,599.8500000,588.2500000,594.8000000,1937280
TATN,D,20180302,000000,592.0500000,598.9000000,585.0000000,595.0000000,1341900
TATN,D,20180305,000000,597.7500000,604.4500000,596.5500000,600.4000000,1402980
TATN,D,20180306,000000,602.0000000,606.9500000,600.2000000,604.0000000,1509940
TATN,D,20180307,000000,601.0000000,601.7500000,590.0500000,595.2500000,2269590
TATN,D,20180309,000000,593.5500000,604.1000000,593.1000000,604.0000000,1085810
TATN,D,20180312,000000,604.1000000,608.1000000,600.0000000,606.8000000,1230490
TATN,D,20180313,000000,605.6500000,610.0000000,601.8500000,606.5000000,1841890
TATN,D,20180314,000000,605.8000000,607.0000000,599.0000000,602.9500000,1575240
TATN,D,20180315,000000,602.4000000,607.0000000,596.8000000,606.7000000,2266350
TATN,D,20180316,000000,604.8500000,613.2500000,600.8500000,613.2500000,5019310
TATN,D,20180319,000000,613.2500000,624.0000000,607.5000000,611.0000000,1615400
TATN,D,20180320,000000,613.4500000,621.4000000,609.7000000,620.0000000,1561420
TATN,D,20180321,000000,621.0000000,624.7500000,618.1000000,618.8000000,1538730
TATN,D,20180322,000000,618.8000000,622.5000000,613.4000000,616.7500000,1283640
TATN,D,20180323,000000,613.8500000,620.4500000,610.3000000,618.3500000,1191200
TATN,D,20180326,000000,617.4000000,618.8000000,603.1500000,603.5000000,1781290
TATN,D,20180327,000000,607.3500000,613.5000000,601.6000000,605.5000000,1664630
TATN,D,20180328,000000,603.0000000,609.0000000,600.0000000,604.0000000,1574770
TATN,D,20180329,000000,607.4500000,615.0000000,599.0500000,615.0000000,2393810
TATN,D,20180330,000000,615.0000000,616.6500000,610.0500000,611.6000000,390670
TATN,D,20180402,000000,611.1000000,614.8500000,598.3000000,598.3000000,809290
TATN,D,20180403,000000,599.5500000,604.9500000,597.6500000,604.9500000,981760
TATN,D,20180404,000000,604.9000000,607.9000000,595.0000000,599.7500000,1747220
TATN,D,20180405,000000,600.5000000,615.0000000,600.5000000,614.5500000,1044970
TATN,D,20180406,000000,610.5500000,612.3000000,605.3000000,610.0000000,986380
TATN,D,20180409,000000,607.6500000,609.5500000,575.6000000,596.7000000,5447530
TATN,D,20180410,000000,600.0500000,649.4000000,598.1000000,644.5000000,3981790
TATN,D,20180411,000000,640.3500000,660.5000000,637.8500000,650.2500000,3251600
TATN,D,20180412,000000,650.8500000,655.6500000,641.8500000,655.6500000,2263020
TATN,D,20180413,000000,655.0500000,657.6000000,642.8000000,647.7500000,2133630
TATN,D,20180416,000000,644.4500000,658.9500000,640.1500000,650.0000000,1733890
TATN,D,20180417,000000,653.0500000,660.0000000,650.7000000,657.0000000,2463630
TATN,D,20180418,000000,657.5500000,663.3500000,654.0000000,660.5500000,2221450
TATN,D,20180419,000000,660.5000000,661.3500000,649.4500000,660.0000000,1819930
TATN,D,20180420,000000,657.3500000,659.6500000,651.5000000,657.1000000,1360490
TATN,D,20180423,000000,655.3500000,666.2000000,652.6000000,659.4500000,1969410
TATN,D,20180424,000000,660.9000000,663.6000000,658.3500000,661.0000000,978430
TATN,D,20180425,000000,658.2500000,666.0000000,654.3500000,666.0000000,1161180
TATN,D,20180426,000000,665.9500000,680.3500000,663.7000000,680.0000000,1537080
TATN,D,20180427,000000,679.6500000,685.2500000,666.1500000,685.2500000,1527510
TATN,D,20180428,000000,678.7000000,683.7500000,675.2500000,682.0500000,278600
TATN,D,20180430,000000,678.7000000,678.8500000,671.0500000,671.0500000,743860
TATN,D,20180502,000000,669.7000000,680.2500000,661.1500000,671.0000000,2102110
TATN,D,20180503,000000,669.6000000,670.9500000,650.0000000,650.0000000,2161890
TATN,D,20180504,000000,653.7500000,663.2000000,647.7500000,659.3500000,1782430
TATN,D,20180507,000000,661.7500000,667.2000000,653.1500000,654.1500000,1091260
TATN,D,20180508,000000,654.9500000,666.9500000,651.5000000,666.9500000,1744770
TATN,D,20180510,000000,677.8000000,677.9000000,664.6500000,671.8000000,1830770
